"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"55","1958","20","Telangana","Hyderabad","15.84","18.55","20.58","24.41","26.54","26.42","22.44","22.34","22.47","20.7","17.93","15.06"
"55","1959","20","Telangana","Hyderabad","16.82","18.95","20.68","24.12","26.74","23.89","21.9","22.08","22.31","21.34","17.15","14.62"
"55","1960","20","Telangana","Hyderabad","15.97","16.39","20.7","23.43","25.84","23.99","23.04","22.87","22.39","20.3","16.53","15.35"
"55","1961","20","Telangana","Hyderabad","16.01","17.27","21.69","24.27","25.47","23.23","22.27","22.11","21.75","20.06","16.45","13.9"
"55","1962","20","Telangana","Hyderabad","13.29","16.24","19.91","23.26","25.09","24.35","22.5","22.01","21.51","19.23","16.17","14.94"
"55","1963","20","Telangana","Hyderabad","13.98","15.94","19.98","22.25","25.41","22.91","22.54","21.54","22.07","20.45","17.56","14.66"
"55","1964","20","Telangana","Hyderabad","15.42","17.48","20.95","24.43","26.48","23.69","22.15","21.24","21.33","20.44","16.0","13.07"
"55","1965","20","Telangana","Hyderabad","15.26","17.18","19.98","22.77","25.69","23.97","22.4","22.25","21.98","20.12","16.67","15.46"
"55","1966","20","Telangana","Hyderabad","15.61","17.84","20.74","24.16","25.99","24.88","23.56","22.87","21.57","19.9","18.52","14.54"
"55","1967","20","Telangana","Hyderabad","15.26","16.79","20.58","23.46","26.16","24.57","22.74","22.22","21.97","19.56","15.92","17.21"
"55","1968","20","Telangana","Hyderabad","15.08","18.14","19.5","22.48","25.61","24.23","22.66","22.74","21.7","18.47","16.08","14.86"
"55","1969","20","Telangana","Hyderabad","15.59","18.82","22.21","24.68","25.74","24.66","22.3","22.11","21.95","20.34","17.97","14.24"
"55","1970","20","Telangana","Hyderabad","15.52","19.01","21.52","24.71","26.36","22.66","22.85","21.76","22.11","20.1","15.07","11.26"
"55","1971","20","Telangana","Hyderabad","15.45","18.37","20.06","24.17","25.25","22.32","23.41","22.69","22.4","19.86","15.81","13.42"
"55","1972","20","Telangana","Hyderabad","13.42","18.04","21.0","23.98","26.27","25.94","23.46","23.11","22.51","20.89","17.42","16.28"
"55","1973","20","Telangana","Hyderabad","16.8","19.35","21.91","26.15","28.15","24.87","22.69","21.89","22.97","20.18","16.45","14.59"
"55","1974","20","Telangana","Hyderabad","14.2","17.98","21.15","24.95","25.43","23.93","23.87","22.22","22.21","21.2","15.24","13.72"
"55","1975","20","Telangana","Hyderabad","14.11","17.9","20.8","24.77","26.84","23.61","22.46","22.47","21.41","21.54","15.47","11.78"
