"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"55","1958","20","Telangana","Hyderabad","1.17","8.85","6.81","49.39","16.01","65.58","251.18","193.35","132.4","56.74","19.7","0.0"
"55","1959","20","Telangana","Hyderabad","0.0","0.1","0.0","13.16","23.16","142.85","224.34","220.11","144.9","44.11","4.91","0.7"
"55","1960","20","Telangana","Hyderabad","0.0","0.0","32.67","4.17","32.75","109.08","109.56","42.91","323.29","30.5","18.26","6.41"
"55","1961","20","Telangana","Hyderabad","1.67","3.49","3.67","14.34","36.46","107.03","246.82","131.08","100.26","160.9","6.38","0.1"
"55","1962","20","Telangana","Hyderabad","43.88","35.83","30.36","26.39","23.36","20.98","28.11","89.84","216.82","175.69","130.3","97.71"
"55","1963","20","Telangana","Hyderabad","0.0","0.28","6.67","46.43","17.77","135.52","135.47","232.7","118.14","97.98","0.0","0.0"
"55","1964","20","Telangana","Hyderabad","0.2","0.77","1.62","16.68","11.12","97.79","164.03","95.22","351.61","48.03","7.03","0.0"
"55","1965","20","Telangana","Hyderabad","0.49","0.0","3.74","5.06","11.79","73.41","301.24","81.67","234.31","0.1","0.0","2.59"
"55","1966","20","Telangana","Hyderabad","40.16","33.38","28.61","25.07","22.32","20.14","33.02","40.28","141.11","95.68","61.62","46.27"
"55","1967","20","Telangana","Hyderabad","0.93","0.0","32.93","7.34","3.02","107.94","314.79","109.97","183.26","9.67","0.1","14.39"
"55","1968","20","Telangana","Hyderabad","5.65","10.81","10.41","10.25","8.61","76.39","146.78","15.43","322.57","54.82","5.1","2.04"
"55","1969","20","Telangana","Hyderabad","1.9","0.0","2.44","15.38","52.3","73.11","169.89","98.96","240.46","32.18","37.95","13.26"
"55","1970","20","Telangana","Hyderabad","39.92","33.19","28.46","24.97","22.26","20.37","18.56","177.2","216.82","159.08","102.47","66.51"
